Area Code;Item Code;Element Code;Year;Qty
3;2620;5142;2013;153
3;2625;5142;2013;141
3;2630;5142;2013;8
3;2633;5142;2013;2
3;2635;5142;2013;0
3;2640;5142;2013;0
3;2641;5142;2013;0
3;2645;5142;2013;0
3;2655;5142;2013;25
3;2656;5142;2013;86
3;2657;5142;2013;0
3;2658;5142;2013;8
3;2731;5142;2013;71
3;2732;5142;2013;49
3;2733;5142;2013;35
3;2734;5142;2013;42
3;2735;5142;2013;0
3;2736;5142;2013;11
3;2740;5142;2013;4
3;2743;5142;2013;0
3;2737;5142;2013;4
3;2781;5142;2013;0
3;2782;5142;2013;0
3;2744;5142;2013;40
3;2848;5521;2013;101
3;2848;5142;2013;964
3;2761;5142;2013;2
3;2762;5142;2013;3
3;2763;5521;2013;0
3;2763;5142;2013;5
3;2764;5142;2013;2
3;2765;5142;2013;1
3;2766;5142;2013;1
3;2767;5142;2013;1
3;2769;5142;2013;0
3;2775;5142;2013;0
3;2680;5142;2013;0
3;2905;5521;2013;410
3;2905;5142;2013;474
3;2907;5521;2013;75
3;2907;5142;2013;132
3;2908;5521;2013;1
3;2909;5142;2013;151
3;2911;5521;2013;2
3;2911;5142;2013;17
3;2912;5142;2013;13
3;2913;5521;2013;0
3;2913;5142;2013;74
3;2914;5142;2013;22
3;2918;5521;2013;70
3;2918;5142;2013;778
3;2919;5142;2013;451
3;2922;5142;2013;10
3;2923;5142;2013;0
3;2924;5142;2013;119
3;2943;5142;2013;197
3;2945;5142;2013;11
3;2946;5142;2013;8
3;2949;5142;2013;40
3;2948;5521;2013;101
3;2948;5142;2013;964
3;2960;5521;2013;0
3;2960;5142;2013;15
3;2961;5142;2013;0
3;2928;5142;2013;0
4;2511;5521;2013;545
4;2511;5142;2013;7270
4;2805;5521;2013;2
4;2805;5142;2013;117
4;2513;5521;2013;1280
4;2513;5142;2013;517
4;2514;5521;2013;2400
4;2514;5142;2013;627
4;2515;5142;2013;0
4;2516;5521;2013;107
4;2516;5142;2013;0
4;2517;5521;2013;1
4;2518;5521;2013;0
4;2518;5142;2013;3
4;2520;5521;2013;2
4;2520;5142;2013;1
4;2532;5142;2013;0
4;2531;5521;2013;0
4;2531;5142;2013;2540
4;2534;5142;2013;0
4;2536;5521;2013;0
4;2542;5142;2013;1089
4;2543;5142;2013;24
4;2745;5142;2013;7
4;2546;5142;2013;61
4;2547;5142;2013;18
4;2549;5521;2013;14
4;2549;5142;2013;247
4;2551;5142;2013;71
4;2555;5521;2013;0
4;2555;5142;2013;0
4;2556;5142;2013;11
4;2558;5142;2013;1
4;2560;5142;2013;3
4;2561;5142;2013;5
4;2562;5142;2013;0
4;2563;5142;2013;191
4;2570;5521;2013;1
4;2571;5142;2013;293
4;2572;5142;2013;20
4;2573;5142;2013;77
4;2574;5142;2013;18
4;2577;5142;2013;29
4;2578;5142;2013;1
4;2579;5142;2013;0
4;2580;5142;2013;68
4;2582;5142;2013;2
4;2586;5142;2013;78
4;2601;5142;2013;1073
4;2602;5142;2013;1277
4;2605;5521;2013;0
4;2605;5142;2013;4147
4;2611;5142;2013;1116
4;2612;5142;2013;75
4;2613;5142;2013;3
4;2614;5142;2013;9
4;2615;5142;2013;247
4;2616;5142;2013;0
4;2617;5142;2013;544
4;2618;5142;2013;10
4;2619;5142;2013;821
4;2620;5142;2013;512
4;2625;5142;2013;1141
4;2630;5142;2013;129
4;2633;5142;2013;41
4;2635;5142;2013;13
4;2640;5142;2013;4
4;2641;5142;2013;19
4;2642;5142;2013;0
4;2645;5142;2013;10
4;2655;5142;2013;0
4;2656;5142;2013;188
4;2657;5142;2013;0
4;2658;5142;2013;7
4;2731;5142;2013;220
4;2732;5142;2013;301
4;2733;5142;2013;0
4;2734;5142;2013;291
4;2735;5142;2013;14
4;2736;5142;2013;57
4;2740;5142;2013;20
4;2737;5142;2013;10
4;2781;5142;2013;0
4;2782;5142;2013;0
4;2744;5142;2013;316
4;2848;5142;2013;5549
4;2761;5142;2013;13
4;2762;5142;2013;17
4;2763;5521;2013;0
4;2763;5142;2013;100
4;2764;5142;2013;17
4;2765;5142;2013;5
4;2766;5142;2013;2
4;2767;5142;2013;0
4;2769;5142;2013;0
4;2775;5142;2013;0
4;2680;5142;2013;22
4;2905;5521;2013;4338
4;2905;5142;2013;8534
4;2907;5521;2013;0
4;2907;5142;2013;2540
4;2908;5521;2013;0
4;2909;5142;2013;1119
4;2911;5521;2013;14
4;2911;5142;2013;326
4;2912;5142;2013;71
4;2913;5521;2013;2
4;2913;5142;2013;210
4;2914;5142;2013;586
4;2918;5521;2013;0
4;2918;5142;2013;6497
4;2919;5142;2013;4477
4;2922;5142;2013;184
4;2923;5142;2013;33
4;2924;5142;2013;196
4;2943;5142;2013;826
4;2945;5142;2013;57
4;2946;5142;2013;29
4;2949;5142;2013;316
4;2948;5142;2013;5549
4;2960;5521;2013;0
4;2960;5142;2013;154
4;2961;5142;2013;0
4;2928;5142;2013;22
7;2511;5142;2013;874
7;2805;5142;2013;174
7;2513;5142;2013;0
7;2514;5521;2013;270
7;2514;5142;2013;833
7;2516;5521;2013;0
7;2516;5142;2013;0
7;2517;5142;2013;30
7;2518;5521;2013;46
7;2518;5142;2013;0
7;2532;5521;2013;8880
7;2532;5142;2013;4249
7;2531;5142;2013;438
7;2533;5142;2013;1056
7;2534;5142;2013;0
7;2536;5521;2013;5
7;2542;5142;2013;327
7;2543;5142;2013;0
7;2745;5142;2013;23
7;2546;5142;2013;192
7;2551;5142;2013;2
7;2555;5142;2013;11
7;2556;5142;2013;47
7;2560;5142;2013;3
7;2561;5142;2013;3
7;2571;5142;2013;77
7;2572;5142;2013;17
7;2573;5142;2013;5
7;2574;5142;2013;1
7;2575;5142;2013;1
7;2576;5142;2013;7
7;2577;5142;2013;65
7;2578;5142;2013;0
7;2580;5142;2013;4
7;2582;5142;2013;0
7;2586;5142;2013;15
7;2601;5142;2013;102
7;2602;5142;2013;7
7;2605;5142;2013;1344
7;2611;5142;2013;6
7;2614;5142;2013;274
7;2615;5142;2013;1154
7;2617;5142;2013;22
7;2618;5142;2013;431
7;2619;5142;2013;0
7;2620;5142;2013;2
7;2625;5142;2013;50
7;2630;5142;2013;13
7;2633;5142;2013;3
7;2635;5142;2013;1
7;2640;5142;2013;0
7;2641;5142;2013;0
7;2642;5142;2013;0
7;2645;5142;2013;0
7;2655;5142;2013;100
7;2656;5142;2013;1214
7;2657;5142;2013;404
7;2658;5142;2013;42
7;2731;5142;2013;181
7;2732;5142;2013;23
7;2733;5142;2013;191
7;2734;5142;2013;372
7;2735;5142;2013;9
7;2736;5142;2013;25
7;2740;5142;2013;2
7;2737;5142;2013;11
7;2781;5521;2013;4
7;2781;5142;2013;0
7;2744;5142;2013;24
7;2848;5521;2013;2
7;2848;5142;2013;264
7;2761;5142;2013;20
7;2762;5142;2013;131
7;2763;5521;2013;38
7;2763;5142;2013;152
7;2764;5521;2013;14
7;2764;5142;2013;24
7;2765;5142;2013;1
7;2766;5142;2013;1
7;2767;5142;2013;0
7;2769;5142;2013;0
7;2775;5142;2013;0
7;2680;5142;2013;5
7;2905;5521;2013;316
7;2905;5142;2013;1912
7;2907;5521;2013;8880
7;2907;5142;2013;5743
7;2908;5521;2013;5
7;2909;5142;2013;350
7;2911;5142;2013;192
7;2912;5142;2013;2
7;2913;5142;2013;64
7;2914;5142;2013;192
7;2918;5142;2013;1453
7;2919;5142;2013;1940
7;2922;5142;2013;17
7;2923;5142;2013;1
7;2924;5142;2013;1761
7;2943;5142;2013;776
7;2945;5142;2013;25
7;2946;5521;2013;4
7;2946;5142;2013;12
7;2949;5142;2013;24
7;2948;5521;2013;2
7;2948;5142;2013;264
7;2960;5521;2013;52
7;2960;5142;2013;329
7;2961;5142;2013;0
7;2928;5142;2013;5
8;2511;5142;2013;6
8;2805;5142;2013;1
8;2514;5521;2013;0
8;2514;5142;2013;0
8;2515;5142;2013;0
8;2516;5521;2013;0
8;2516;5142;2013;0
8;2520;5142;2013;0
8;2532;5521;2013;0
8;2532;5142;2013;0
8;2531;5521;2013;0
8;2531;5142;2013;1
8;2533;5142;2013;0
8;2535;5142;2013;0
8;2534;5142;2013;0
8;2536;5521;2013;0
8;2542;5142;2013;3
8;2543;5142;2013;0
8;2745;5142;2013;0
8;2546;5142;2013;0
8;2547;5142;2013;0
8;2549;5142;2013;0
8;2551;5142;2013;0
8;2555;5142;2013;0
8;2556;5142;2013;0
8;2557;5142;2013;0
8;2558;5142;2013;0
8;2560;5142;2013;0
8;2561;5142;2013;0
8;2563;5142;2013;0
8;2570;5142;2013;0
8;2571;5142;2013;0
8;2572;5142;2013;0
8;2573;5142;2013;0
8;2574;5142;2013;0
8;2575;5142;2013;0
8;2577;5142;2013;0
8;2578;5142;2013;0
8;2579;5142;2013;0
8;2580;5142;2013;0
8;2582;5142;2013;0
8;2586;5142;2013;0
8;2601;5142;2013;1
8;2602;5142;2013;1
8;2605;5142;2013;5
8;2611;5142;2013;2
8;2612;5142;2013;0
8;2613;5142;2013;0
8;2614;5142;2013;0
8;2615;5142;2013;1
8;2616;5142;2013;0
