Area Code;Item Code;Element Code;Year;qty
4;2905;5142;2012;8413
4;2907;5521;2012;0
4;2907;5142;2012;2521
4;2908;5521;2012;0
4;2909;5142;2012;1163
4;2911;5521;2012;14
4;2911;5142;2012;232
4;2912;5142;2012;71
4;2913;5521;2012;2
4;2913;5142;2012;157
4;2914;5142;2012;575
4;2918;5521;2012;1
4;2918;5142;2012;5884
4;2919;5142;2012;4073
4;2922;5142;2012;176
4;2923;5142;2012;30
4;2924;5142;2012;166
4;2943;5142;2012;809
4;2945;5142;2012;53
4;2946;5142;2012;28
4;2949;5142;2012;280
4;2948;5142;2012;5602
4;2960;5521;2012;0
4;2960;5142;2012;154
4;2961;5142;2012;0
4;2928;5142;2012;21
7;2511;5142;2012;837
7;2805;5142;2012;182
7;2513;5142;2012;0
7;2514;5521;2012;93
7;2514;5142;2012;768
7;2516;5521;2012;0
7;2516;5142;2012;0
7;2517;5142;2012;13
7;2518;5521;2012;12
7;2518;5142;2012;0
7;2532;5521;2012;4880
7;2532;5142;2012;4161
7;2531;5142;2012;425
7;2533;5142;2012;626
7;2534;5142;2012;0
7;2536;5521;2012;5
7;2542;5142;2012;301
7;2543;5142;2012;0
7;2745;5142;2012;23
7;2546;5142;2012;185
7;2551;5142;2012;2
7;2555;5142;2012;6
7;2556;5142;2012;31
7;2560;5142;2012;5
7;2561;5142;2012;3
7;2571;5142;2012;75
7;2572;5142;2012;15
7;2573;5142;2012;5
7;2574;5142;2012;0
7;2575;5142;2012;1
7;2576;5142;2012;7
7;2577;5142;2012;65
7;2578;5142;2012;0
7;2580;5142;2012;4
7;2582;5142;2012;0
7;2586;5142;2012;17
7;2601;5142;2012;95
7;2602;5142;2012;7
7;2605;5142;2012;1272
7;2611;5142;2012;7
7;2614;5142;2012;180
7;2615;5142;2012;1116
7;2617;5142;2012;24
7;2618;5142;2012;253
7;2619;5142;2012;0
7;2620;5142;2012;2
7;2625;5142;2012;53
7;2630;5142;2012;50
7;2633;5142;2012;4
7;2635;5142;2012;1
7;2640;5142;2012;0
7;2641;5142;2012;0
7;2642;5142;2012;0
7;2645;5142;2012;0
7;2655;5142;2012;103
7;2656;5142;2012;1163
7;2657;5142;2012;455
7;2658;5142;2012;39
7;2731;5142;2012;170
7;2732;5142;2012;22
7;2733;5142;2012;175
7;2734;5142;2012;349
7;2735;5142;2012;9
7;2736;5142;2012;23
7;2740;5142;2012;2
7;2737;5142;2012;13
7;2781;5521;2012;4
7;2781;5142;2012;0
7;2744;5142;2012;47
7;2848;5521;2012;2
7;2848;5142;2012;260
7;2761;5142;2012;20
7;2762;5142;2012;131
7;2763;5521;2012;38
7;2763;5142;2012;152
7;2764;5521;2012;14
7;2764;5142;2012;24
7;2765;5142;2012;1
7;2766;5142;2012;1
7;2767;5142;2012;0
7;2769;5142;2012;0
7;2775;5142;2012;0
7;2680;5142;2012;3
7;2905;5521;2012;105
7;2905;5142;2012;1801
7;2907;5521;2012;4880
7;2907;5142;2012;5212
7;2908;5521;2012;5
7;2909;5142;2012;324
7;2911;5142;2012;185
7;2912;5142;2012;2
7;2913;5142;2012;45
7;2914;5142;2012;189
7;2918;5142;2012;1375
7;2919;5142;2012;1635
7;2922;5142;2012;55
7;2923;5142;2012;0
7;2924;5142;2012;1760
7;2943;5142;2012;726
7;2945;5142;2012;23
7;2946;5521;2012;4
7;2946;5142;2012;14
7;2949;5142;2012;47
7;2948;5521;2012;2
7;2948;5142;2012;260
7;2960;5521;2012;52
7;2960;5142;2012;329
7;2961;5142;2012;0
7;2928;5142;2012;3
8;2511;5142;2012;5
8;2805;5142;2012;1
8;2514;5521;2012;0
8;2514;5142;2012;0
8;2515;5142;2012;0
8;2516;5521;2012;0
8;2516;5142;2012;0
8;2520;5142;2012;0
8;2532;5521;2012;0
8;2532;5142;2012;0
8;2531;5521;2012;0
8;2531;5142;2012;1
8;2533;5142;2012;1
8;2535;5142;2012;0
8;2534;5142;2012;0
8;2536;5521;2012;0
8;2542;5142;2012;2
8;2543;5142;2012;0
8;2745;5142;2012;0
8;2546;5142;2012;0
8;2547;5142;2012;0
8;2549;5142;2012;0
8;2551;5142;2012;0
8;2555;5142;2012;0
8;2556;5142;2012;0
8;2557;5142;2012;0
8;2558;5142;2012;0
8;2560;5142;2012;0
8;2561;5142;2012;0
8;2563;5142;2012;0
8;2570;5142;2012;0
8;2571;5142;2012;0
8;2572;5142;2012;0
8;2573;5142;2012;0
8;2574;5142;2012;0
8;2575;5142;2012;0
8;2577;5142;2012;0
8;2578;5142;2012;0
8;2579;5142;2012;0
8;2580;5142;2012;0
8;2582;5142;2012;0
8;2586;5142;2012;1
8;2601;5142;2012;1
8;2602;5142;2012;0
8;2605;5142;2012;4
8;2611;5142;2012;1
8;2612;5142;2012;1
8;2613;5142;2012;0
8;2614;5142;2012;0
8;2615;5142;2012;1
8;2616;5142;2012;0
8;2617;5142;2012;0
8;2618;5142;2012;1
8;2619;5142;2012;0
8;2620;5142;2012;0
8;2625;5142;2012;10
8;2630;5142;2012;0
8;2633;5142;2012;0
8;2635;5142;2012;0
8;2640;5142;2012;0
8;2641;5142;2012;0
8;2642;5142;2012;0
8;2645;5142;2012;0
8;2655;5142;2012;0
8;2656;5142;2012;1
8;2657;5142;2012;0
8;2658;5142;2012;0
8;2731;5142;2012;1
8;2732;5142;2012;0
8;2733;5142;2012;1
8;2734;5142;2012;5
8;2735;5142;2012;0
8;2736;5142;2012;0
8;2740;5142;2012;0
8;2743;5142;2012;0
8;2737;5142;2012;0
